Company,City,State,Logo,Description,CB_Rank,Funding_Rounds,Funding_Status,Last_Funding_Date,Last_Funding_Amount,Last_Funding_Type,Total_Funding_Amount,Total_Employees,Top_5_Investors,Total_Investors,Total_Acquisitions,IPO_Status,Stock_Symbol
Indigo,Boston,Massachusetts,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/lqepihizylggrezlggrl","Indigo uses natural microbiology and digital technologies to improve grower profitability, sustainability, and consumer health.",1956,11,Late Stage Venture,"Aug 3, 2020",360000000,Series F,1169000000,1001-5000,"Baillie Gifford, G Squared, FedEx, Alaska Permanent Fund, Olive Tree Capital",12,1,Private,—
Apeel Sciences,Goleta,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/qbyxkpjjewivdvgtymy8",Apeel Sciences develops plant-derived shelf life extension technology for fresh produce that improves quality and reduces food waste.,1460,9,Late Stage Venture,"Aug 18, 2021",250000000,Series E,640100564,501-1000,"Andreessen Horowitz, Temasek Holdings, Invoca, Mirae Asset Global Investments, Viking Global Investors",30,1,Private,—
Pivot Bio,Berkeley,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/v1501883563/kgnb2rajvxapptb9imp5.jpg",Pivot Bio is an agricultural tech company improving the microbiome by taking nitrogen from the air and making it available for plants.,3034,5,Late Stage Venture,"Jul 19, 2021",430000000,Series D,616746489,101-250,"Temasek Holdings, DCVC, Breakthrough Energy Ventures, Generation Investment Management, Prelude Ventures",19,,Private,—
Farmers Business Network,San Carlos,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/a5lbarcteqqazfntk61a",Farmers Business Network is a farmer-to-farmer network developed to help farmers optimize their financial performances.,22622,8,Late Stage Venture,"Aug 3, 2020",250000000,Series F,570400000,501-1000,"Kleiner Perkins, Temasek Holdings, T. Rowe Price, GV, Bow Capital",15,3,Private,—
AppHarvest,Morehead,Kentucky,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/y0mu5vtlg9jzcldnohkc","AppHarvest is an AgTech company that specializes in the fields of agriculture, farming, and technology.",1021,8,IPO,"Apr 16, 2021",48991850,Post-IPO Equity,566300961,51-100,"Fidelity Management and Research Company, S2G Ventures, Endeavor Catalyst, Revolution, Revolution’s Rise of the Rest Seed Fund",9,2,Public,APPH
Plenty,San Francisco,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/bm3ypotf18h1lqojw4ao","Plenty is a vertical farming company that brings fresh, pesticide-free produce to customers.",19640,6,Late Stage Venture,"Oct 14, 2020",140000000,Series D,541000000,251-500,"DCVC, SoftBank Vision Fund, Innovation Endeavors, DCM Ventures, Group 11",11,1,Private,—
Nature’s Fynd,Chicago,Illinois,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/svtpgrvbrdpbrfw5ll98",Nature’s Fynd is a food company that makes nutritional vegan protein from a microbe.,2915,4,Late Stage Venture,"Jul 19, 2021",350000000,Series C,508000000,51-100,"Breakthrough Energy Ventures, SoftBank Vision Fund, EDBI, Hillhouse Capital Group, Generation Investment Management",17,,Private,—
Inari,Cambridge,Massachusetts,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/uskkpo2bqf1nqbz1xjud",Inari presents high performing plant varieties that improve the economic and environmental realities of production agriculture.,5255,4,Late Stage Venture,"May 12, 2021",208000000,Series D,382000000,101-250,"Alexandria Venture Investments, G Squared, EDBI, Pavilion Capital, 50 South Capital",10,,Private,—
Benson Hill,Olivette,Missouri,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wazjj6nex4sfodnpybxx",Benson Hill is a provider of crop design platform to develop healthier and more sustainable food and ingredients.,385,11,IPO,"Oct 29, 2020",150000000,Series D,282324149,101-250,"GV, Alexandria Venture Investments, Louis Dreyfus Company, Collaborative Fund, Tao Capital Partners",24,1,Public,BHIL
Anuvia Plant Nutrients,Winter Garden,Florida,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/vxlr2hrvhdzilmhziayi",Anuvia Plant Nutrients is an agricultural technology company developing a product to replace traditional fertilizer.,10834,4,Late Stage Venture,"Feb 23, 2021",103000000,Series C,241999996,51-100,"Generate Capital, Piva Capital, Pontifax AgTech, Florida Opportunity Fund, TPG Alternative & Renewable Technologies",8,,Private,—
Greenlight Biosciences,Medford,Massachusetts,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ighp2jard65o7nqfgji3","GreenLight Biosciences is a biotechnology company focused on RNA research, design and manufacturing for human, animal and plant health",2017,8,Late Stage Venture,"Jun 16, 2020",102000000,Series D,215000000,101-250,"Khosla Ventures, Alexandria Venture Investments, Cormorant Asset Management, Tao Capital Partners, S2G Ventures",22,,Private,—
Shenandoah Growers,Harrisonburg,Virginia,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/afcxjjc0xww0yl0djl5d","Shenandoah Growers is a grower, packer, and shipper of fresh organic culinary herbs.",12159,9,Late Stage Venture,"Dec 1, 2020",55000000,Series C,192516313,101-250,"Advantage Capital, S2G Ventures, Middleland Capital, XPV Water Partners",4,,Private,—
Upward Farms,Brooklyn,New York,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/afbv9oyestu9ye07tc1m","Upward Farms grows high ecological and quality standard leafy greens and fish to nourish people, families, and the planet.",13121,4,Early Stage Venture,"Jun 24, 2021",121668565,Series B,141668565,11-50,"Prime Movers Lab, Neue Fund, Steve Jurvetson, FOUNDER.org",4,,Private,—
Puris,Minneapolis,Minnesota,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/uyz1ngq8aoydxatoncva",Puris cultivates plant-based foods and ingredients from organic and non-GMO sources.,5056,5,—,"Feb 28, 2020",25000000,Venture - Series Unknown,137500000,51-100,"Cargill, Lyra Growth Partners",2,,Private,—
Hydrofarm,Fairless Hills,Pennsylvania,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/x42f5jr6z7kalxp1aag0",Hydrofarm is a distributor and manufacturer of controlled environment agriculture equipment and supplies.,12328,5,IPO,"May 7, 2021",15000000,Post-IPO Equity,122904214,101-250,"Serruya Private Equity, SternAegis, Broadband Capital Investments, Hawthorn Equity Partners",4,5,Public,HYFM
Devenish Nutrition,Fairmont,Minnesota,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/hczjzeovhfko5abb1w3k","Devenish Nutrition is a farming and food company,",27316,1,—,"Aug 7, 2018",118000000,Debt Financing,118000000,251-500,"European Investment Bank, Danske Bank, Ulster Bank Ireland",3,,Private,—
The Climate Corporation,San Francisco,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/v1485367777/bqxioh447cuu7tuuhnu1.png",The Climate Corporation is a technology platform helping people and businesses manage and adapt to climate change.,7761,4,M&A,"Jun 14, 2012",50000000,Series C,108800000,501-1000,"Index Ventures, Khosla Ventures, SV Angel, First Round Capital, GV",20,6,Private,—
Farmland LP,San Francisco,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/v1454391419/eclacjkjm7qq7yurlspd.png","Farmland LP is a real estate fund that acquires conventional farmland and converts it into Organic, sustainably managed farmland.",26305,4,Early Stage Venture,"Jun 1, 2021",71800000,Series B,108780000,51-100,U.S. Department of Agriculture,1,,Private,—
Hazel Technologies,Chicago,Illinois,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/pgwpjig57rrzljduzff8",Hazel Technologies develops biotechnology for reducing waste in the agricultural supply chain.,6396,6,Late Stage Venture,"Apr 13, 2021",70000000,Series C,87777000,11-50,"Temasek Holdings, S2G Ventures, Pangaea Ventures, U.S. Department of Agriculture, Serra Ventures",15,,Private,—
Illumitex,Austin,Texas,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/v1496762018/fxpyo3aucvixsyos5ab9.jpg","Illumitex is a manufacturer of precision LEDs, LED lights, LED grow lights, and digital horticulture solutions.",27706,12,—,"Jun 5, 2017",3996412,Venture - Series Unknown,83831463,51-100,"New Enterprise Associates, Mercury Fund, Mousse Partners, Morgan Creek Capital Management, Syngenta Ventures",8,,Private,—
FarmLink,Kansas Cit,Missouri,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/v1476140987/vf3okotuwekrlibzop4u.png",FarmLink is an AgTech company that enables the next transformation in agriculture and land conservation.,37710,3,Late Stage Venture,"Jan 19, 2016",24600000,Series C,82000000,11-50,"Adams Street Partners, OPENAIR Equity Partners, Thorndale Farm, October Capital, John Rose",6,,Private,—
Bushel,Fargo,North Dakota,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/pndoowv1y5umiz9xfs6k",Bushel is focused on building the digital infrastructure in the agricultural supply chain.,686,4,Late Stage Venture,"Apr 20, 2021",47000000,Series C,75000000,101-250,"Cargill, Lewis & Clark Ventures, Germin8 Ventures, Continental Grain Company, The Scoular Company",9,2,Private,—
CIBO Technologies,Saint Louis Park,Minnesota,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/y9tozm49v1jcwlctpxdv",CIBO scales regenerative advanced platform technology that connects growers to incentives and enterprises to growers.,11212,6,Late Stage Venture,"Oct 21, 2021",30000000,Series C,67399997,11-50,"Generation Investment Management, Flagship Pioneering, Red Cedar Ventures",3,,Private,—
Taranis,Westfield,Indiana,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wzae5ccnkvdlrkepte3k","Taranis is an agriculture intelligence platform that uses computer vision, data science, and deep learning algorithms to monitor fields.",6196,6,Late Stage Venture,"Jul 21, 2020",,Series C,59550000,51-100,"OurCrowd, Vertex Ventures, iAngels, Marc Benioff, Viola Ventures",22,1,Private,—
Ceres Imaging,Oakland,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/fwipt20ufudip1wcyd90",Ceres Imaging is a California-based aerial spectral imagery and analytics company that serves farmers and agribusinesses.,1595,6,Late Stage Venture,"Sep 29, 2021",23000000,Series C,58500000,51-100,"Insight Partners, Elemental Excelerator, Romulus Capital, REMUS Capital, Silicon Badia",8,,Private,—
Sentera,Saint Paul,Minnesota,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/gqubs4jgz7aq337exgfn",Analytics and machine learning insights for digital agriculture.,7752,4,Late Stage Venture,"Jun 9, 2021",25000000,Series C,53000000,51-100,"S2G Ventures, Caisse de Depot et Placement du Quebec, AgFunder, iSELECT FUND, Middleland Capital",8,,Private,—