Week,Team,Win
1,North Dakota State,1
2,North Dakota State,1
3,North Dakota State,1
4,North Dakota State,1
5,North Dakota State,0.5
6,North Dakota State,1
1,Sam Houston State,1
2,Sam Houston State,1
3,Sam Houston State,0.5
4,Sam Houston State,1
5,Sam Houston State,1
6,Sam Houston State,1
1,James Madison,1
2,James Madison,1
3,James Madison,1
4,James Madison,0.5
5,James Madison,1
6,James Madison,0
1,South Dakota State,1
2,South Dakota State,1
3,South Dakota State,0.5
4,South Dakota State,1
5,South Dakota State,1
6,South Dakota State,0
1,Eastern Washington,1
2,Eastern Washington,1
3,Eastern Washington,1
4,Eastern Washington,1
5,Eastern Washington,1
6,Eastern Washington,1
1,Southern Illinois,1
2,Southern Illinois,0
3,Southern Illinois,1
4,Southern Illinois,1
5,Southern Illinois,1
6,Southern Illinois,1
1,Montana State,0
2,Montana State,1
3,Montana State,1
4,Montana State,1
5,Montana State,1
6,Montana State,1
1,Montana,1
2,Montana,1
3,Montana,0.5
4,Montana,1
5,Montana,0
6,Montana,1
1,Princeton,0.5
2,Princeton,0.5
3,Princeton,1
4,Princeton,1
5,Princeton,1
6,Princeton,1
1,Villanova,1
2,Villanova,1
3,Villanova,1
4,Villanova,0
5,Villanova,0.5
6,Villanova,1